Song,Artist,First_Week
LA Devotee,Panic! at the Disco,2025-03-21
If I Can't Have You,Kelly Clarkson,2025-03-21
Death of a Bachelor,Panic! at the Disco,2025-03-21
Don't Let Me Stop You,Kelly Clarkson,2025-03-21
Golden Days,Panic! at the Disco,2025-03-21
The Lucky One (Taylor's Version),Taylor Swift,2025-03-21
Los Angeles,blink-182,2025-03-21
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,2025-03-21
Teenage Satellites,blink-182,2025-03-21
No Future,blink-182,2025-03-21
Victorious,Panic! at the Disco,2025-03-21
Green Light,Lorde,2025-03-21
Impossible Year,Panic! at the Disco,2025-03-21
House of Memories,Panic! at the Disco,2025-03-21
The Good the Bad and the Dirty,Panic! at the Disco,2025-03-21
Crazy = Genius,Panic! at the Disco,2025-03-21
Emperor's New Clothes,Panic! at the Disco,2025-03-21
Hallelujah,Panic! at the Disco,2025-03-21
Don't Threaten Me with a Good Time,Panic! at the Disco,2025-03-21
Don't You Wanna Stay (feat. Kelly Clarkson),Jason Aldean,2025-03-28
Last Beautiful Girl,Matchbox Twenty,2025-03-28
Bored to Death,blink-182,2025-03-28
Cruel Summer,Taylor Swift,2025-03-28
21 Guns,Green Day,2025-03-28
San Diego,blink-182,2025-03-28
Womanizer,Britney Spears,2025-03-28
American Eulogy: Mass Hysteria / Modern World,Green Day,2025-03-28
Horseshoes and Handgrenades,Green Day,2025-03-28
Restless Heart Syndrome,Green Day,2025-03-28
¿Viva la Gloria? (Little Girl),Green Day,2025-03-28
Peacemaker,Green Day,2025-03-28
Christian's Inferno,Green Day,2025-03-28
See the Light,Green Day,2025-03-28
¡Viva la Gloria!,Green Day,2025-03-28
21st Century Breakdown,Green Day,2025-03-28
bad idea right?,Olivia Rodrigo,2025-03-28
You Won't Be Mine,Matchbox Twenty,2025-03-28
Stop,Matchbox Twenty,2025-03-28
Leave,Matchbox Twenty,2025-03-28
Bed of Lies,Matchbox Twenty,2025-03-28
The Burn,Matchbox Twenty,2025-03-28
Rest Stop,Matchbox Twenty,2025-03-28
Fetish (feat. Gucci Mane),Selena Gomez,2025-03-28
obsessed,Olivia Rodrigo,2025-03-28
LOVE DIVE,IVE,2025-04-04
Uptown Girl,Westlife,2025-04-04
The Feels,TWICE,2025-04-04
Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,2025-04-04
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,2025-04-04
Shame,Matchbox Twenty,2025-04-04
Busted,Matchbox Twenty,2025-04-04
Kody,Matchbox Twenty,2025-04-04
Argue,Matchbox Twenty,2025-04-04
Damn,Matchbox Twenty,2025-04-04
Girl Like That,Matchbox Twenty,2025-04-04
