Song Name,Artist Name,Image Link,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
달라달라 (DALLA DALLA),ITZY,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,65,,,,,,,,,,,,,52,,
Be Natural,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,15,,,,,,,,,,,,,,,,,,,
Castle on the Hill,Ed Sheeran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,74,,,,,,,,,,,,,,,63,
Emperor's New Clothes,Panic! at the Disco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
Pigstep - Stereo Mix,Lena Raine,,,,,,7,,,2,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,
Sthlm Sunset,Ehrling,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無限的我 무한적아; LIMITLESS,NCT 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,
The Story of Us,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,
I Got a Boy,소녀시대,,,,,,,,,20,,,,,,13,,,,45,,23,51,,,,,23,,,,5,,,,,,,,6,,,,8,,,,,,,38,,,,49
Breathe (feat. Colbie Caillat),Taylor Swift,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homesick,Madison Beer,,,,,,,,,,,16,,,,,,,,,,,28,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
Better Man,Little Big Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
New Romantics,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
SOS,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Forever & Always (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,31,28,21,,,48,,,,,,,,,,,,,55,,,,,,,,,,,,48,,,55,9,
HWAA,(G)I-DLE,,,,,,,,,,,,,12,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALL ME BABY,EXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,,,,,,,,,,,,,,,,,,,,
Egoist (Olivia Hye),Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,36,,,77,
Chirp,C418,,,,,,,,,,,,,10,,,,,,,,,,,36,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,
pete davidson,Ariana Grande,,,,,,,11,,,,,,,,,,,,54,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,
The Moment I Knew (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,10,,22,33,85
Only You,TWICE,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,10,,,,,,73,,,,,,,,,,,,,,,,
Psycho,Red Velvet,,,6,,,16,,,8,,,,,,,,,,,,,14,,,,,,18,,,,,,,,,,,63,,,,,,,,,,,,,,,47
Teenage Dream,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,54
Teardrops on My Guitar - Radio Single Remix,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,,,34,,11,,80,
My Pace,Stray Kids,,,,,,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog,C418,,,,,,,,,,,,,11,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genie,Girls' Generation,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,16,,,,,27,77,59,,22,,35,,,,,,,,,,55
California Gurls,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Ain't Your Mama,Jennifer Lopez,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Feels,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,6,,,
Shout Out to My Ex,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,,,,,,14,50,45,,,,,,,,,,
Body,Megan Thee Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,,,,,,,,,,,,,
High by the Beach,Lana Del Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
I CAN'T STOP ME,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,13,,,,,,,,,,,,,,,
Let Her Go,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,,,,,,,,,,,,,,,99
Never Be the Same,Camila Cabello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
Homemade Dynamite,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,68,,,,44,34,,,,,78,,,,,,,,,,62,,,,,
Cry Baby,Melanie Martinez,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,41,,,,,45,,,,62,70,,,,42,,,,,,,,,73,,
Walking on Air,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
ivy,Taylor Swift,,,,1,,,,,10,,4,,,27,,,,,,,,36,,55,19,,,,,,,,33,,,,38,,,,,,,60,,,,,,,,85,,
In & Out,Red Velvet,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,97
Naturally,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,24,,,,,30,,,,,,,,,64,69,
Give Me Everything,Pitbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
I Need Only You (Chez Remix),Love Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,11,,,,,,,,,,,,,,,,,,,,,,,,,
Thinking of You,Katy Perry,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,60,,,,,,62,,,,,,,18,,,,,21,,68,
Crying in the Club,Camila Cabello,,,,,,,,,,,,,,,,,,11,,,,,,,,,16,,,,,,28,,,,,,,,,,,,,,,,,,,,61,
Complicated,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,36,18,,,,40,,,,,,,,25,,,,,,,,,,,,
The Louvre,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,19,,,,24,,,,,,,,,,,,22,,,,61,,,,,
First Time,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,29,,,,,,,,,,,,,,,,,,19,,,
Anaconda,Nicki Minaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,,,,,20,,,,17,,,,10,,25,,,,,,67,,,,50
dorothea,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,40,,,,,,,62,,,,,,,,83,,
Thinking Bout You,Ariana Grande,,,,,,,6,,,,20,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,59
brutal,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,14,22,,,,,52,,,33,,,,,,,54,15,23,,,,,,,,,,,,,33
Party in the U.S.A.,Miley Cyrus,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,46,,,,71,,,,,,,,,,,,,,,,
All Too Well,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,
Me & My Girls,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,24,,,,,,,,,,,,,
Sad Beautiful Tragic,Taylor Swift,,,,,,,,,,2,,,,,,,,,8,,,,,,,,,,,6,,,37,,,,,,,,,,,14,,6,3,,,,,,,
right where you left me,Taylor Swift,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begin Again (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,39,,,34,86
Kiss and Make Up,Dua Lipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,
Curiosity,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
Don't Hurt Yourself (feat. Jack White),Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
Starlight (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,,,35,87
Misfit,NCT U,,,,,,,,,28,,,,,,5,,,,17,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Give Me a Reason (feat. Nate Ruess),P!nk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,
Green Light,Lorde,,,,,,,,,,,,,5,13,,,,,,,,,18,,,14,,,69,,,,45,,37,,,72,,42,,,45,44,,,,,63,69,,,,
Love Myself,Hailee Steinfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,15,,,,,,,,,37,,,,,48,,,,,,,,,,,
1 step forward 3 steps back,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,12,20,26,,40,,49,,,31,,,,,,,51,,,,,,,,,,,,,,,67
Into You,Ariana Grande,,,,,,6,,,18,,3,,,,,,,,,30,,43,,40,33,,,,,,,42,,,,,,,,33,41,,,,,,,,,65,,,,60
Don't Wanna Cry,Seventeen,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drivers license,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,3,3,6,,,,,50,,,32,,,,,,,52,40,,,,,,,,,,,,,,68
21:29,TWICE,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,23,,,,,,,,60,,,,,,,,,,,,78,,
One More Night,Maroon 5,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,14,,,,,,,,,,,,,54,,,,,,,,,,
Dress,Taylor Swift,,,,,,,,,,,,,,,,,1,,,15,,,,,2,,15,,,,,,,,,,,34,71,,18,,4,4,,,13,,,,,15,,10
Tag You're It,Melanie Martinez,,,,,,,,,,,,,,,,,,21,47,,,,,,,,,,8,,,,,,,,,23,31,,,,,,,,,,,,,71,66,
Gasoline,Halsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Dear Future Husband,Meghan Trainor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,70
Up,Cardi B,,,,,,,,,15,,5,,,8,,,,,,,,,,61,,,,28,,,,,,48,,,,64,,,,,,,,,,,,,,,,
Sweet Crazy Love,LOOΠΔ / ODD EYE CIRCLE,,,5,,,,,,34,,,,,,,,,,,,,,6,,,19,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
willow,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,46,,,,,,,68,,,,,,,,91,62,
Sit Still Look Pretty,Daya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
This Is Why We Can't Have Nice Things,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,21,,,,,,,,,,
exile,Taylor Swift Bon Iver,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.I.L.F. $,Fergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,56
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
The Way I Loved You,Taylor Swift,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마지막 첫사랑 My First and Last,NCT DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,19,,
Jai Ho! (You Are My Destiny),A.R. Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,30,,,26,,,,,,,,,,77,,
Oh My God,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,
Senorita,(G)I-DLE,,,,,,,,,,,,,,21,24,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,75,46
SPARK,A.C.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
RAINBOW,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,80,,
raindrops (an angel cried),Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
good 4 u,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,38,,47,,,29,,,,,,,49,44,,,,,,,,,,,,,,66
Don’t You (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,5,,9,3,,,,9,,,20,,,,,,,,,,48,,,,,,,,,,19,,,,,60,,
Here's to Never Growing Up,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Today Was a Fairytale (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,25,,,,46,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,88,
Abracadabra,Brown Eyed Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,
Chaotic,LOOΠΔ / ODD EYE CIRCLE,,,,,,,,,,,,,,,,,,,,,11,,24,,,18,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
Queendom,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,,
Writer in the Dark,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,65,,,,41,,,,,,,,,,,,,,,,58,,,,,
I Want You to Know,Zedd,,,,,,11,,,24,,,,,,,,,,,,,,,,,,,,21,,,,59,,,,,,,,,,,,,,,,,,,,,
Hot,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,
WANNABE,ITZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
HUMAN,dodie,,,,,,,,,,,12,,,,,,,25,,,22,,23,,,,,,,,,,13,,,,,1,5,,4,,,,,,,,,32,,,,
I Kissed a Girl,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,11,,,43,,23,,,
Savage Remix (feat. Beyoncé),Megan Thee Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Delicate,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,8,,3,3,,,,,,,,,,100
GOLDWING,Billie Eilish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,92
Sober,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,1,,,,,,,24,,,,16,,,,,5,,,,,,,,
Breathe (Taylor’s Version),Taylor Swift Colbie Caillat,,,,,,,,,,,,,,,,,,20,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,
Stained Glass,Madison Beer,,,,,,,,,,,,,,17,,,,,,,,24,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,
Dark Horse,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Come Back...Be Here,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Work Bitch,Britney Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Pity Party,Melanie Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,18,,,,,,,,30,,
DEJAVU,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,7,,,,,,,,,,,,,,,,,,29
Umpah Umpah,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,34,,,,,,,,,,,,,,,
Uma Thurman,Fall Out Boy,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Love,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,46,,
Young and Beautiful,Lana Del Rey,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,15,,,,,,,,,25,,
The Other Side of the Door (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,3,,,11,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,89,
SAY YES,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,8,,,,,,,,,7,,,
Peek-A-Boo,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,,,,,26,,,,,,,,,,
Zimzalabim,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,17,,,,,,,,,,,,,,,
Mrs. Potato Head,Melanie Martinez,,,,,,8,,,17,,,,,9,,,,,,33,,47,,,,,,,40,,,,,42,,,,60,,,,,,,,,,,,,,70,65,
Swagger Stagger,Lucas Pittman,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Feelings / Loveless,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol-Free,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,15,,,,,,,,,,,,,,,,,,,20,,,
YES or YES,TWICE,,,,,,,9,,39,,,,,,,,,,,,,32,,,,,,,,,,9,,,14,,15,,,,,,,,17,,,,,,,42,,
Boy,THE BOYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,
Tag Me (@Me),Weekly,,,,,,,,,,,,6,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GET LOUD,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,79,,
Break My Heart,Dua Lipa,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,
Cat,C418,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,
LOVE BOMB,프로미스나인 (fromis_9),,,,,,,,,,,,5,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She's So Mean,Matchbox Twenty,,,,,,,,,,,2,,,,,,,2,19,,,48,,,,,12,,16,,15,,64,,,,,45,,,,,,38,,,,,,71,,50,,
Dollhouse,Melanie Martinez,,,,,,,,,,,,,,,,,,,,,,,,,14,21,,,6,,9,,,,,,,33,81,,,,,,,,,,,,,72,,
The Last Time,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,,,16,,50,,,,,,,,,,
CLOSER,OH MY GIRL,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
cowboy like me,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,37,,,,,,55,59,,,,,,,,84,,
I Forgot That You Existed,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,19,29,,,,,,,21,,,,,,
How You Like That,BLACKPINK,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,31,,26,,,,,,,,,,,,,,,,,
Lady Marmalade - From Moulin Rouge Soundtrack,Christina Aguilera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,
Pacify Her,Melanie Martinez,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,18,,,,,,,,,32,,,,,,,,,,,,,,,,
Love You Like a Love Song,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
Love Shot,EXO,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
The Moment I Knew,Taylor Swift,,,,,,,,,,,,,,,,,,,27,,,,,,,,22,22,,,,,36,,,,,48,,,,,,49,,,,,,,,,,
Arms Unfolding,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,56,,,39,,,,,,,,,,,,,
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,
Mellohi,C418,,,,,,,,,,,,,9,,,,,,,,,,,35,,,,,,,,,,,,27,,,59,,,,,,,,,,,,,,,
The Edge of Glory,Lady Gaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,21,25,,63,,,,,,,,,,,,,,,,43
Ride,twenty one pilots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
Smile,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
Oxytocin,Billie Eilish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,,,,,,,,,,,,,,23
Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,4,6,26,,44,,,,,,,,,,,,,51,,,17,,,,,,,12,,,,,,,
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,
Baila Conmigo (with Rauw Alejandro),Selena Gomez,,,,,,,,,,,19,,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearless (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,6,2,,5,7,,,,13,6,,,,,,,,,,,,64,,3,,,,,,,,1,,,,,,11,
Single Ladies (Put a Ring on It),Beyoncé,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13,,,,,,,,,,,,,,29,1,2,,,,,,,21,86,
Kill Em with Kindness,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,17,,23,,,,,,,,,10,,
champagne problems,Taylor Swift,,,,2,,2,1,,5,,,,,10,,,,,,,,23,,59,23,,,,,,,,,,,,45,,,,,,54,67,,,,,,,,90,,61
The Way I Loved You (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,7,,11,16,24,,,49,16,,,,,,,,,,,,56,,,41,,,,,,,,,49,,,56,24,
Sober,Demi Lovato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Sk8er Boi,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,67,,,,,14,,,,,,,,,,,73
Baby,Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,27,,,,,,,,,,,,,,,,,
BOYSHIT,Madison Beer,,,,,,,,,,,,,6,14,,,,,,,,45,,60,,,,,63,,,,,47,,,,,40,,,,,,,,,,,,,,,
Halo,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,,,,,,
Untouchable (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,90,
LOONATIC,LOOΠΔ / ODD EYE CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,47,,
Power,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,51
Look What You Made Me Do,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,28,,,,,,,,,,,
I Almost Do (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,10,35
Applause,Lady Gaga,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,47,,54,40,25
STAY,BLACKPINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
positions,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,18,,,25,,,,,,,,,,,
ME! (feat. Brendon Urie of Panic! at the Disco),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,34,,,,,49,,,,,,,,64,,,,,
Worth It (feat. Kid Ink),Fifth Harmony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,13,,,,28,,,,,,,,40,37,,,,,,,,,,
Kiss and Make Up,Dua Lipa BLACKPINK,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelia Street,Taylor Swift,,,,,,,,,,,8,,,,,,3,,,,,19,,,4,,,,,,,,,,,11,,,,,28,,,,,,,,65,77,,,,
