Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2025-04-11,82,NEW,--,True,34,--,You Suck at Love,Simple Plan,Get Your Heart On! (Deluxe Edition),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,82,1,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
2025-04-11,83,RE,--,False,34,--,Clouds,Any Name's Okay,Clouds,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,2,18,https://lastfm.freetls.fastly.net/i/u/300x300/7a4eb756fbd665c41e3bbdd0fb5367f1.jpg
2025-04-11,84,RE,--,False,34,--,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,5,27,https://lastfm.freetls.fastly.net/i/u/300x300/eaf969cd1dc992b0f13243f7703dfb29.jpg
2025-04-11,85,RE,--,False,34,--,My Life Would Suck Without You,Kelly Clarkson,All I Ever Wanted,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,10,32,https://lastfm.freetls.fastly.net/i/u/300x300/6eb2d8d5b34d5744320e1a0e260085d9.png
2025-04-11,86,RE,--,False,34,--,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,1,96,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2025-04-11,87,RE,--,False,28,--,Hitchin' a Ride,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,10,1,56,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2025-04-11,88,RE,--,True,26,--,Tabing-dagat,Any Name's Okay,Tabing-dagat,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,88,1,https://lastfm.freetls.fastly.net/i/u/300x300/0beb1063aed750ebc4c5f2219379ad9f.jpg
2025-04-11,89,NEW,--,True,26,--,Orasan,Any Name's Okay,Orasan,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,89,1,https://lastfm.freetls.fastly.net/i/u/300x300/a82021b26826ec77550dc226ba675cdf.jpg
2025-04-11,90,RE,--,False,26,--,Yugto,Any Name's Okay,Yugto,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,30,3,https://lastfm.freetls.fastly.net/i/u/300x300/48c355e67ff4f5949f69f5db997480fa.jpg
2025-04-11,91,NEW,--,True,26,--,Vivid,Any Name's Okay,All I Feel and See,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,91,1,https://lastfm.freetls.fastly.net/i/u/300x300/276ff32e66dcf048ed3442bd564f0afd.jpg
2025-04-11,92,RE,--,False,26,--,Bulong !!!,Kitchie Nadal,Kitchie Nadal,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,47,3,https://lastfm.freetls.fastly.net/i/u/300x300/eaf969cd1dc992b0f13243f7703dfb29.jpg
