Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-08-20,Secret Garden,OH MY GIRL,1,1,1
2021-08-20,Coloring Book,OH MY GIRL,1,1,1
2021-08-20,Listen To My Word,OH MY GIRL,1,1,1
2021-08-20,ghostin,Ariana Grande,2,2,1
2021-08-20,WINDY DAY,OH MY GIRL,1,1,1
2021-08-20,Liar Liar (Korean Version),OH MY GIRL,1,1,1
2021-08-20,CLOSER,OH MY GIRL,1,1,1
2021-08-20,CUPID,OH MY GIRL,1,1,1
2021-08-20,Odd Eye,Dreamcatcher,1,1,1
2021-08-20,BOCA,Dreamcatcher,1,1,1
2021-08-20,R.o.S.E BLUE (Prod. ESTi),Dreamcatcher,1,1,1
2021-08-20,Scream,Dreamcatcher,1,1,1
2021-08-20,Deja Vu,Dreamcatcher,1,1,1
2021-08-20,PIRI,Dreamcatcher,1,1,1
2021-08-20,Over the Sky,Dreamcatcher,1,1,1
2021-08-20,What,Dreamcatcher,1,1,1
2021-08-20,YOU AND I,Dreamcatcher,1,1,1
2021-08-20,Full Moon,Dreamcatcher,1,1,1
2021-08-20,Fly high,Dreamcatcher,1,1,1
2021-08-20,GOOD NIGHT,Dreamcatcher,1,1,1
2021-08-20,Chase Me,Dreamcatcher,1,1,1
2021-08-20,Wings,Little Mix,1,1,1
2021-08-20,The Edge of Glory,Lady Gaga,1,1,1
2021-08-20,Dance in the Dark,Lady Gaga,1,1,1
2021-08-20,Speechless,Lady Gaga,1,1,1
2021-08-20,Monster,Lady Gaga,1,1,1
2021-08-20,Alejandro,Lady Gaga,1,1,1
2021-08-20,Bad Romance,Lady Gaga,1,1,1
2021-08-20,Green Light,Lorde,1,1,1
2021-08-20,Recess,Melanie Martinez,1,1,1
2021-08-20,High School Sweethearts,Melanie Martinez,1,1,1
2021-08-20,Teacher's Pet,Melanie Martinez,1,1,1
2021-08-20,Detention,Melanie Martinez,1,1,1
2021-08-20,Orange Juice,Melanie Martinez,1,1,1
2021-08-20,Lunchbox Friends,Melanie Martinez,1,1,1
2021-08-20,Strawberry Shortcake,Melanie Martinez,1,1,1
2021-08-20,Drama Club,Melanie Martinez,1,1,1
